ReviewID,ProductID,ProductName,CustomerID,CustomerName,Rating,ReviewText,ReviewDate,CategoryName
2,7,美的 智能门铃 Pro,AN592,毕博诚科技有限公司电子商务,1.3,这款产品有严重问题，画质模糊，已经申请退款。,2025-06-15,智能门铃
24,2,格力 智能门铃 Advanced,EY913,华成育卓传媒有限公司互联网服务,4.0,这款产品的智能场景特别好用，在日常使用时特别方便。,2025-04-30,智能门铃
4,1,博世 智能摄像头 Plus,FR176,戴硕电子传媒有限公司数字科技,1.6,散热问题问题很严重，完全不值这个价格。,2025-04-18,智能摄像头
16,4,亚马逊 智能门铃 Advanced,AE959,创汇科技有限公司数字科技,5.0,这款产品的多用户管理特别好用，在办公环境时特别方便。,2025-04-15,智能门铃
20,1,博世 智能摄像头 Plus,LX021,济南亿次元科技有限公司金融科技,4.1,用了一段时间，这款博世 智能摄像头 Plus设计很人性化。值得一提的是定时功能是我最喜欢的部分。有点贵了，但质量确实好。,2025-04-10,智能摄像头
3,4,亚马逊 智能门铃 Advanced,GP088,鑫博腾飞传媒有限公司虚拟现实,2.8,信号强度问题很严重，完全不值这个价格。,2025-04-04,智能门铃
6,7,美的 智能门铃 Pro,WV658,方正科技科技有限公司区块链技术,3.3,总体来说还行，节能环保，就是耗电量大。,2025-03-14,智能门铃
18,5,松下 智能扫地机器人 Elite,HI434,联通时科网络有限公司数字科技,1.8,必须承认，这款智能扫地机器人性价比极低。使用不到一周就出现了失灵。,2025-02-09,智能扫地机器人
22,10,松下 智能窗帘 Mini,TW853,昂歌信息网络有限公司云计算,3.6,智能窗帘的质量还可以，操作简单，不过反应迟钝。,2025-01-25,智能窗帘
1,5,松下 智能扫地机器人 Elite,DD222,创汇传媒有限公司物联网,2.3,不推荐这款智能扫地机器人，智能化程度低，很失望。,2025-01-23,智能扫地机器人
26,7,美的 智能门铃 Pro,LX021,济南亿次元科技有限公司金融科技,1.6,作为一个经常使用此类产品的人，这款美的 智能门铃 Pro有严重问题。使用不到一周就出现了问题。唯一值得称赞的可能就是价格便宜。这钱花得太冤枉了。,2025-01-22,智能门铃
19,4,亚马逊 智能门铃 Advanced,KD752,良诺传媒有限公司网络安全,5.0,体验下来，这款亚马逊 智能门铃 Advanced做工精细。让我惊喜的是在工作时时表现尤为出色。便宜没好货，这句话在这里很适用。,2025-01-11,智能门铃
27,6,亚马逊 智能空调 Max,LC431,七喜传媒有限公司电子商务,3.4,在工作时使用还不错，但在其他情况下表现一般。,2024-11-11,智能空调
8,9,谷歌 智能体重秤 Ultra,DD222,创汇传媒有限公司物联网,3.5,必须承认，这款智能体重秤质量还行。在晚上睡前时使用体验还不错。可惜的是在户外活动场景下表现一般。总体来说还是很满意的。,2024-08-24,智能体重秤
21,2,格力 智能门铃 Advanced,KD752,良诺传媒有限公司网络安全,3.7,总体来说还行，音质出色，就是反应迟钝。,2024-08-18,智能门铃
28,7,美的 智能门铃 Pro,WV658,方正科技科技有限公司区块链技术,1.6,这款产品有严重问题，售后服务差，已经申请退款。,2024-07-27,智能门铃
15,1,博世 智能摄像头 Plus,DD222,创汇传媒有限公司物联网,4.1,这款智能摄像头的自动调节功能很实用，画质清晰。,2024-06-14,智能摄像头
30,2,格力 智能门铃 Advanced,AN592,毕博诚科技有限公司电子商务,5.0,智能门铃的设计很人性化，兼容性强，值得推荐。,2024-05-23,智能门铃
